ticker,alpha,MERCADO,VALUE,TAMANO,MOMENTUM,VOLATILIDAD,LIQUIDEZ,r2,n_obs,suma_beta
AMZN,0.0016641083975439768,1.350074211389221,-0.6952649227813772,0.37130121611077743,-0.06795955853908195,0.09708933473401993,-0.05524028091355926,0.4198173268765969,190,0.9999999999999998
ANET,,,,,,,,,21,
APA,0.006423964946500412,0.7665503565120564,0.33988298288988894,-0.5234371716850071,-0.01505986912609153,-0.7794091916278716,1.2114728930370249,0.861620862668865,25,0.9999999999999998
APD,,,,,,,,,12,
APH,,,,,,,,,21,
APP,,,,,,,,,12,
AVGO,0.02408217655248576,1.122453918107504,-0.21081172962321543,-0.2979127573326655,0.044981821599820934,-0.2015627239719495,0.5428514712205055,0.34934276853983826,129,0.9999999999999999
AXP,-0.0012595208265378122,1.0627960217800214,0.19700306345951954,0.21504098723995407,-0.19091989971203366,-0.10968487196565671,-0.17423530080180466,0.5164424170840471,190,1.0
BA,-0.005093730629750953,1.2856584532239705,0.17444117380577331,0.13389154324955568,-0.006157589377601427,-0.08961628808555881,-0.4982172928161394,0.3487977246451823,178,1.0
BAC,0.0003281858716711693,1.2139481606630447,1.0078172863030286,-0.39796476405317194,0.03134194504011821,-0.4095098826994258,-0.44563274525359375,0.6087384479681557,190,1.0000000000000004
BAX,-0.00415916947631538,0.883783293567825,-0.07082783301769208,0.5128980785224246,-0.5105318397526323,0.35696628926473806,-0.17228798858466338,0.23833004208356068,37,1.0
BDX,-0.003952118022965203,0.9758523195702169,-1.0784332293253933,0.3151186209602757,-0.4525257850616333,0.35649126441475243,0.8834968094417817,0.45283626499047214,36,1.0
BIIB,-0.002952711518463919,0.867202343268941,0.10002372996681363,0.6016657277051537,0.33611253380636913,-0.4372765956612592,-0.4677277390860183,0.21892281899194455,84,0.9999999999999999
BKNG,-0.003134317519759018,1.220869678640863,-0.14187588958907701,0.43470246409962127,-0.40312702878369966,-0.0516339169063119,-0.058935307461395664,0.3413141090807166,165,1.0000000000000002
BLK,0.0006596072899246672,1.220611047331393,0.06858833619200876,0.046222165001348424,-0.1436437255918213,0.08126898034230211,-0.273046803275231,0.6230078919388993,93,0.9999999999999999
BMY,0.002115584444780608,0.6416478378493498,0.08126335059677385,0.20824175843187806,-0.03323718674072724,0.3964236838911023,-0.29433944402837664,0.2025891361954425,178,1.0
BNY,0.0005424486549807017,0.9845762013697249,0.8674846891561228,-0.4736679889292653,0.1411001841604609,-0.23183721597656773,-0.2876558697804755,0.704821339757902,49,0.9999999999999997
BRK-B,0.0051640132078806895,0.8298885917222589,0.12607907739961904,-0.07678397550688948,-0.08193921974454502,0.2086419124650569,-0.005886386335500315,0.49938708996920245,190,1.0
BSX,0.009091583452319302,0.9033186800728527,-0.34708390734859873,0.054804257991511916,0.10120199317775674,0.49009940011210196,-0.20234042400562452,0.32811816997607735,48,1.0
BX,-0.0018793019912225874,1.585585058581055,0.7086124357014454,-0.29913652606677577,-0.4482090261807973,-0.5228593243915343,-0.023992617643393055,0.5164679695235201,36,0.9999999999999998
C,-0.003130284238975876,1.253267979321445,0.9247297252993651,-0.3175411262084965,-0.016974285685478624,-0.5867849242266376,-0.25669736850019736,0.6945366706124052,190,1.0
