fecha,ticker,rendimiento,pe,market_cap,momentum_12_1,volatilidad_12m,rotacion_3m,miembro
2010-01-31,CAT,-0.07709437777705297,,32531288622.90753,0.9083665743043907,0.1549986070927848,0.2716912579690661,1
2010-01-31,CB,-0.022420673904016808,,16568539206.45699,0.18346243253762262,0.08825577971501435,0.14090668370133588,0
2010-01-31,CCI,-0.05379157040676552,,10757150496.04937,1.0,0.12006330737838382,0.12422647808183811,0
2010-01-31,CI,-0.04252880950421767,,9233967446.319523,1.0377464932062654,0.08863971959542222,0.28203011325028154,0
2010-01-31,CL,-0.020365018931713608,,39790205366.91724,0.2871141049421224,0.05283574201682564,0.12077266994193026,1
2010-01-31,CMCSA,-0.05577109374327782,,32642475391.3956,0.16717206746145497,0.09656633437280383,0.23890825350273773,1
2010-01-31,CME,-0.14626772404590982,,19040258353.27148,0.9660708515284908,0.1798214413343591,0.18926397927211372,0
2010-01-31,COF,-0.03860201942107433,,16584222173.2722,1.4987523698478777,0.21678633738367356,0.30117659121148815,0
2010-01-31,COP,-0.06011311814490927,,71217325310.95757,0.120239993093048,0.0917532982264806,0.12428636141835465,1
2010-01-31,COST,-0.029406711327581214,,25230897769.87381,0.33284156078415683,0.05578509416463174,0.15261280359825413,1
2010-01-31,CRM,-0.13853864433514473,,7937394904.708862,1.7722663011627717,0.1297649471134724,0.30646784093941815,0
2010-01-31,CSCO,-0.061403763289508584,,129260586550.1032,0.599198707614722,0.08444584777558453,0.14628343556876167,1
2010-01-31,CSX,-0.1161065475834524,,16825074080.41881,0.7174164590816492,0.09516720561885877,0.21630926703127007,0
2010-01-31,CVS,0.0075790160719850785,,45659275403.37753,0.20651173601307593,0.08087650186478346,0.25258518646128947,1
2010-01-31,CVX,-0.06325519387851364,,144692042275.4192,0.13347630209996275,0.0633138827262512,0.09240594041613844,1
2010-01-31,D,-0.037512946892632404,,22372640795.16969,0.16615547610257875,0.05958521728645589,0.08983500624475615,1
2010-01-31,DD,-0.019544084255260774,,,1.4734402668596762,0.30904535577380465,,1
2010-01-31,DE,-0.07653934684998576,,21110758832.04706,0.5978612999870345,0.13103734829101843,0.24156418619048184,1
